ts,voltage,current,power,readable_time
1762705833,247.1,0.262,35.2,2025-11-09 10:30:33 PM
1762705856,247.1,0.262,35.2,2025-11-09 10:30:56 PM
1762705873,247.1,0.262,35.2,2025-11-09 10:31:13 PM
1762705941,246.6,0.215,25.2,2025-11-09 10:32:21 PM
1762705979,245.6,0.239,28.8,2025-11-09 10:32:59 PM
1762706000,247.1,0.244,28.9,2025-11-09 10:33:20 PM
1762706019,247.1,0.244,28.9,2025-11-09 10:33:39 PM
1762706038,247.1,0.244,28.9,2025-11-09 10:33:58 PM
1762706065,247.1,0.244,28.9,2025-11-09 10:34:25 PM
1762706087,247.1,0.244,28.9,2025-11-09 10:34:47 PM
1762706106,247.1,0.244,28.9,2025-11-09 10:35:06 PM
1762706127,247.1,0.182,21.9,2025-11-09 10:35:27 PM
1762706148,247.1,0.182,21.9,2025-11-09 10:35:48 PM
1762706166,247.1,0.182,21.9,2025-11-09 10:36:06 PM
1762706195,247.1,0.182,21.9,2025-11-09 10:36:35 PM
1762706213,247.1,0.182,21.9,2025-11-09 10:36:53 PM
1762706230,247.1,0.182,21.9,2025-11-09 10:37:10 PM
1762706255,247.1,0.182,21.9,2025-11-09 10:37:35 PM
1762706275,247.1,0.182,21.9,2025-11-09 10:37:55 PM
1762706293,247.1,0.182,21.9,2025-11-09 10:38:13 PM
1762706310,247.1,0.182,21.9,2025-11-09 10:38:30 PM
1762706539,247.6,0.261,33.4,2025-11-09 10:42:19 PM
1762706559,246.1,0.205,22.9,2025-11-09 10:42:39 PM
1762706585,246.6,0.247,29.6,2025-11-09 10:43:05 PM
1762706606,246.6,0.247,29.6,2025-11-09 10:43:26 PM
1762706627,246.6,0.247,29.6,2025-11-09 10:43:47 PM
1762706646,246.6,0.247,29.6,2025-11-09 10:44:06 PM
1762706669,246.6,0.247,29.6,2025-11-09 10:44:29 PM
1762706690,246.6,0.247,29.6,2025-11-09 10:44:50 PM
1762706718,246.6,0.247,29.6,2025-11-09 10:45:18 PM
1762706740,246.6,0.247,29.6,2025-11-09 10:45:40 PM
